epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8031,1.74324,2.72442,1.46365,0.97705,0.31047,0.54005,0.3456,1.4825,2.62736,1.44035,0.00040008,0.00040008,0.00040008
2,212.878,1.18142,1.19259,1.09896,0.76373,0.65696,0.74378,0.49057,1.51689,2.19818,1.47911,0.000800657,0.000800657,0.000800657
3,454.912,0.98353,0.895,1.01717,0.77546,0.75164,0.8206,0.61249,1.27536,1.65874,1.37203,0.00118473,0.00118473,0.00118473
4,690.952,0.8802,0.83008,0.98735,0.78217,0.79885,0.80646,0.59768,1.19723,1.51788,1.24686,0.0015523,0.0015523,0.0015523
5,927.048,0.80552,0.77935,0.96088,0.83335,0.81078,0.86864,0.68083,1.13868,1.46562,1.20853,0.00153497,0.00153497,0.00153497
6,1153.89,0.75064,0.70995,0.93771,0.88859,0.82543,0.91117,0.70935,1.17905,1.26281,1.20481,0.00150197,0.00150197,0.00150197
7,1380.6,0.75043,0.69434,0.93938,0.90954,0.83191,0.90487,0.71503,1.01264,1.22538,1.15371,0.00146896,0.00146896,0.00146896
8,1611.27,0.70814,0.664,0.92139,0.92496,0.85108,0.9292,0.75304,0.96401,1.06691,1.11587,0.00143595,0.00143595,0.00143595
9,1757.08,0.68206,0.64967,0.91095,0.92357,0.86236,0.93327,0.76637,0.96012,1.13046,1.15944,0.00140295,0.00140295,0.00140295
10,1864.63,0.64709,0.60644,0.90437,0.91903,0.8828,0.9434,0.78943,0.92317,1.02243,1.13609,0.00136994,0.00136994,0.00136994
11,1974.33,0.63623,0.58475,0.90561,0.93777,0.86943,0.95254,0.80379,0.89261,0.9724,1.09115,0.00133693,0.00133693,0.00133693
12,2086.8,0.60716,0.56704,0.89109,0.92764,0.89683,0.95151,0.80952,0.92027,1.00781,1.11506,0.00130393,0.00130393,0.00130393
13,2193.71,0.58138,0.53798,0.87844,0.94359,0.8709,0.94953,0.79626,0.90922,0.99471,1.09168,0.00127092,0.00127092,0.00127092
14,2299.01,0.60369,0.56099,0.88721,0.92371,0.8988,0.95399,0.82687,0.79318,0.90613,1.05484,0.00123791,0.00123791,0.00123791
15,2412.26,0.61503,0.53291,0.88533,0.92805,0.91036,0.96151,0.80418,0.89585,0.90658,1.08236,0.00120491,0.00120491,0.00120491
16,2522.42,0.57497,0.51189,0.87601,0.94433,0.89729,0.96313,0.81565,0.84472,0.85945,1.06902,0.0011719,0.0011719,0.0011719
